"mach_id","place","water_name","coord_easting","coord_northing"
"CHFO-0057","Payerne-Caserne_d'aviation","Broye",2561660,1187320.00000001
"CHFO-0066","Emmenmatt","Emme",2623610,1200420
"CHFO-0073","Andermatt","Reuss",2688120,1166319.99999999
"CHFO-0079","St._Moritzbad","Inn",2783910,1150960
"CHFO-0081","Gsteig","Lütschine",2633130,1168200
"CHFO-0083","Appenzell","Sitter",2749040,1244220
"CHFO-0086","Moutier-La_Charrue","Birse",2595740,1237010
"CHFO-0088","Frauenthal","Lorze",2674715,1229845
"CHFO-0089","Wängi","Murg",2714105,1261720
"CHFO-0090","Neftenbach","Töss",2691460,1263820
"CHFO-0094","St._Margrethen","Rheintaler_Binnenkanal",2767194,1257810.00000001
"CHFO-0095","Tiefencastel","Albula",2763420,1170145
"CHFO-0098","Oberwil","Simme",2600060,1167090
"CHFO-0103","Belp-Mülimatt","Gürbe",2604810,1192680
"CHFO-0105","Blatten_bei_Naters","Massa",2643700,1137290
"CHFO-0110","Thörishaus-Sensematt","Sense",2593350,1193020
"CHFO-0112","Chur","Plessur",2757975,1191925
"CHFO-0114","Salez","Werdenberger_Binnenkanal",2756795,1234005
"CHFO-0118","Zweilütschinen","Weisse_Lütschine",2635310,1164550
"CHFO-0119","Liestal","Ergolz",2622270,1259750
"CHFO-0120","Aigle","Grande_Eau",2563960,1129860.00000001
"CHFO-0126","Oberried_/_Lenk","Simme",2602630,1141660
"CHFO-0128","Adelboden","Allenbach",2608710,1148300
"CHFO-0131","Klusmatten","Krummbach",2644500,1119420
"CHFO-0135","Pontresina","Rosegbach",2788810,1151690
"CHFO-0136","Pontresina","Berninabach",2789440,1151320
"CHFO-0137","La_Punt-Chamues-ch","Chamuerabach",2791430,1160600
"CHFO-0139","Gletsch","Rhone_(Rotten)",2670810,1157200.00000001
"CHFO-0140","Blatten","Lonza",2629130,1140910
"CHFO-0142","Isenthal","Grosstalbach",2685500,1196050
"CHFO-0147","St-Sulpice","Areuse",2532980,1195880
"CHFO-0258","Erstfeld-Bodenberg","Alpbach",2688560,1185120.00000001
"CHFO-0149","Euthal-Rüti","Minster",2704425,1215310
"CHFO-0150","Jonschwil-Mühlau","Thur",2723675,1252720
"CHFO-0151","Zernez-Punt_la_Drossa","Ova_dal_Fuorn",2810560,1170790
"CHFO-0152","Herisau-Zellersmühle","Glatt",2737270,1251289.99999999
"CHFO-0153","Sonceboz","Suze",2579810,1227350
"CHFO-0154","Goldach-Bleiche","Goldach",2753190,1261590
"CHFO-0156","Salmsach-Hungerbühl","Aach",2744410,1268400
"CHFO-0157","Zernez","Ova_da_Cluozza",2804930,1174830.00000001
"CHFO-0158","Pregassona","Cassarate",2718010,1097379.99999999
"CHFO-0159","Davos-Kriegsmatte","Dischmabach",2786220,1183370
"CHFO-0161","Brig","Saltina",2642220,1129630
"CHFO-0162","Huttwil-Häberenbad","Langeten",2629560,1219135
"CHFO-0164","Roveredo-Bacino_di_compenso","Riale_di_Roggiasca",2733545,1118160
"CHFO-0165","Chiasso-Ponte_di_Polenta","Breggia",2722315,1078320
"CHFO-0169","Davos-Frauenkirch","Landwasser",2779640,1181200
"CHFO-0172","La_Rösa","Poschiavino",2802120,1142010
"CHFO-0174","Yvonand-La_Mauguettaz","Mentue",2545440,1180875
"CHFO-0176","Le_Chenit-Frontière","Orbe",2501445,1156305
"CHFO-0178","Mogelsberg-Aachsäge","Necker",2727110,1247289.99999999
"CHFO-0181","Frauenfeld","Murg",2709540,1269660
"CHFO-0185","Eggiwil-Heidbüel","Emme",2627910,1191180
"CHFO-0186","Ruggell","Liechtensteiner_Binnenkanal",2757750,1234590
"CHFO-0187","Vuippens-Château","Sionge",2572420,1167540
"CHFO-0188","Mosnang-Rietholz","Rietholzbach",2718840,1248440
"CHFO-0189","Rheinsfelden","Glatt",2678040,1269720
"CHFO-0190","Hitzkirch-Richensee","Aabach",2661390,1230220
"CHFO-0191","Oberkirch","Suhre",2651320,1223140
"CHFO-0193","Reckingen","Rhone_(Rotten)",2661910,1146779.99999999
"CHFO-0196","Mels","Seez",2750410,1212510
"CHFO-0197","Somvitg-Encardens","Rein_da_Sumvitg",2718810,1167690
"CHFO-0198","Ecublens-Les_Bois","Venoge",2532040,1154160
"CHFO-0199","Allaman-Le_Coulet","Aubonne",2520720,1147410
"CHFO-0200","Olten-Hammermühle","Dünnern",2634330,1244480
"CHFO-0201","Alpnach-Chilch-Erli","Chli_Schliere",2663800,1199570
"CHFO-0202","Ecublens-Eschiens","Parimbot",2552060,1161650
"CHFO-0203","Zofingen","Wigger",2637580,1237080
"CHFO-0204","Valangin","Seyon",2559370,1206810
"CHFO-0206","Magliaso-Ponte","Magliasina",2711620,1093290
"CHFO-0210","St._Gallen-Bruggen_/_Au","Sitter",2742540,1253230
"CHFO-0211","Hondrich","Kander",2617790,1168400
"CHFO-0212","Murgenthal-Walliswil","Murg",2629340,1233555
"CHFO-0214","Buseno","Calancasca",2729440,1127180
"CHFO-0216","Zug-Letzi","Lorze",2680600,1226070
"CHFO-0217","Soyhières-Bois_du_Treuil","Birse",2596780,1249070
"CHFO-0219","Boudry","Areuse",2554350,1199940
"CHFO-0221","Boncourt-Frontière","Allaine",2567830,1261200
"CHFO-0222","Vevey-Copet","Veveyse",2554675,1146565
"CHFO-0223","Werthenstein-Chappelboden","Kleine_Emme",2647870,1209510
"CHFO-0227","Bürglen-Galgenwäldli","Schächen",2692480,1191800
"CHFO-0229","Gland-Route_Suisse","Promenthouse",2510080,1140080
"CHFO-0231","Nebikon","Luthern",2640560,1226740
"CHFO-0234","Ittigen","Worble",2603005,1202455
"CHFO-0236","Langnau","Ilfis",2627320,1198600
"CHFO-0237","Biberbrugg","Biber",2697240,1223280
"CHFO-0238","Lavertezzo-Campiöi","Verzasca",2708420,1122920
"CHFO-0263","Oberwald","Goneri",2670467,1153932
"CHFO-0240","Neuenkirch","Sellenbodenbach",2658530,1218289.99999999
"CHFO-0241","Einsiedeln","Alp",2698640,1223020
"CHFO-0242","Vicques","Scheulte",2599485,1244149.99999999
"CHFO-0243","Lavertezzo","Riale_di_Pincascia",2708060,1123950
"CHFO-0244","Müstair","Rom",2830800,1168700
"CHFO-0250","Emmen","Kleine_Emme",2663700,1213630
"CHFO-0251","Einsiedeln-Gross","Grossbach",2700710,1218125
"CHAG-0001","Eiken","Sissle",2642035.00057965,1264714.00115664
"CHZH-0042","Dietikon","Reppisch",2672435.00060806,1251590.00114339
